country
Afghanistan
Albania
Algeria
American_Samoa
Andorra
Angola
Argentina
Armenia
Australia
Austria
Azerbaijan
Bahrain
Bangladesh
Belarus
Belgium
Belize
Benin
Bhutan
Bolivia
Bosnia-Herzegovina
Botswana
Bouvet_Island
Brazil
Brunei
Bulgaria
Burkina_Faso
Burundi
Cambodia
Cameroon
Canada
Cape_Verde
Central_African_Republic
Chad
Chile
China
Christmas_Island
Cocos_(Keeling)_Islands
Colombia
Comoros
Congo,_Democratic_Republic_of_the_(Zaire)
Congo,_Republic_of
Cook_Islands
Costa_Rica
Croatia
Cyprus
Czech_Republic
Denmark
Djibouti
Ecuador
Egypt
El_Salvador
Equatorial_Guinea
Eritrea
Estonia
Ethiopia
Falkland_Islands
Faroe_Islands
Fiji
Finland
France
French_Guiana
Gabon
Gambia
Georgia
Germany
Ghana
Gibraltar
Greece
Greenland
Guam_(USA)
Guatemala
Guinea
Guinea_Bissau
Guyana
Holy_See
Honduras
Hong_Kong
Hungary
Iceland
India
Indonesia
Iran
Iraq
Ireland
Israel
Italy
Ivory_Coast_(Cote_D`Ivoire)
Japan
Jordan
Kazakhstan
Kenya
Kiribati
Kosovo
Kuwait
Kyrgyzstan
Laos
Latvia
Lebanon
Lesotho
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
Macau
Macedonia
Madagascar
Malawi
Malaysia
Maldives
Mali
Malta
Marshall_Islands
Mauritania
Mauritius
Mayotte
Mexico
Micronesia
Moldova
Monaco
Mongolia
Montenegro
Morocco
Mozambique
Myanmar
Namibia
Nauru
Nepal
Netherlands
New_Caledonia_(French)
New_Zealand
Nicaragua
Niger
Nigeria
Niue
Norfolk_Island
North_Korea
Northern_Mariana_Islands
Norway
Oman
Pakistan
Palau
Panama
Papua_New_Guinea
Paraguay
Peru
Philippines
Pitcairn_Island
Poland
Polynesia_(French)
Portugal
Qatar
Reunion
Romania
Russia
Rwanda
Saint_Helena
Saint_Pierre_and_Miquelon
Samoa
San_Marino
Sao_Tome_and_Principe
Saudi_Arabia
Senegal
Serbia
Seychelles
Sierra_Leone
Singapore
Slovakia
Slovenia
Solomon_Islands
Somalia
South_Africa
South_Korea
South_Sudan
Spain
Sri_Lanka
Sudan
Suriname
Svalbard_and_Jan_Mayen_Islands
Swaziland
Sweden
Switzerland
Syria
Taiwan
Tajikistan
Tanzania
Thailand
Timor-Leste_(East_Timor)
Togo
Tokelau
Tonga
Tunisia
Turkey
Turkmenistan
Tuvalu
Uganda
Ukraine
United_Arab_Emirates
United_Kingdom
United_States
Uruguay
Uzbekistan
Vanuatu
Venezuela
Vietnam
Wallis_and_Futuna_Islands
Yemen
Zambia
Zimbabwe
